,date,year,month,hour,bikes_used,bike_used,year_month
377,2020-05-16T17:00:00,2020,5,17,0,1025.0,2020-5
378,2020-05-16T18:00:00,2020,5,18,0,915.0,2020-5
379,2020-05-16T19:00:00,2020,5,19,0,737.0,2020-5
380,2020-05-16T20:00:00,2020,5,20,0,482.0,2020-5
381,2020-05-16T21:00:00,2020,5,21,0,306.0,2020-5
382,2020-05-16T22:00:00,2020,5,22,0,223.0,2020-5
383,2020-05-16T23:00:00,2020,5,23,0,207.0,2020-5
384,2020-05-17T00:00:00,2020,5,00,0,156.0,2020-5
385,2020-05-17T01:00:00,2020,5,01,0,121.0,2020-5
386,2020-05-17T02:00:00,2020,5,02,0,94.0,2020-5
387,2020-05-17T03:00:00,2020,5,03,0,97.0,2020-5
388,2020-05-17T04:00:00,2020,5,04,0,95.0,2020-5
389,2020-05-17T05:00:00,2020,5,05,0,99.0,2020-5
390,2020-05-17T06:00:00,2020,5,06,0,120.0,2020-5
391,2020-05-17T07:00:00,2020,5,07,0,146.0,2020-5
392,2020-05-17T08:00:00,2020,5,08,0,221.0,2020-5
393,2020-05-17T09:00:00,2020,5,09,0,293.0,2020-5
394,2020-05-17T10:00:00,2020,5,10,0,371.0,2020-5
395,2020-05-17T11:00:00,2020,5,11,0,430.0,2020-5
396,2020-05-17T12:00:00,2020,5,12,0,606.0,2020-5
397,2020-05-17T13:00:00,2020,5,13,0,666.0,2020-5
398,2020-05-17T14:00:00,2020,5,14,0,783.0,2020-5
399,2020-05-17T15:00:00,2020,5,15,0,818.0,2020-5
400,2020-05-17T16:00:00,2020,5,16,0,762.0,2020-5
401,2020-05-17T17:00:00,2020,5,17,0,657.0,2020-5
402,2020-05-17T18:00:00,2020,5,18,0,603.0,2020-5
403,2020-05-17T19:00:00,2020,5,19,0,432.0,2020-5
404,2020-05-17T20:00:00,2020,5,20,0,254.0,2020-5
405,2020-05-17T21:00:00,2020,5,21,0,168.0,2020-5
406,2020-05-17T22:00:00,2020,5,22,0,131.0,2020-5
407,2020-05-17T23:00:00,2020,5,23,0,113.0,2020-5
408,2020-05-18T00:00:00,2020,5,00,0,86.0,2020-5
409,2020-05-18T01:00:00,2020,5,01,0,81.0,2020-5
410,2020-05-18T02:00:00,2020,5,02,0,71.0,2020-5
411,2020-05-18T03:00:00,2020,5,03,0,71.0,2020-5
412,2020-05-18T04:00:00,2020,5,04,0,75.0,2020-5
413,2020-05-18T05:00:00,2020,5,05,0,89.0,2020-5
414,2020-05-18T06:00:00,2020,5,06,0,119.0,2020-5
415,2020-05-18T07:00:00,2020,5,07,0,158.0,2020-5
416,2020-05-18T08:00:00,2020,5,08,0,193.0,2020-5
417,2020-05-18T09:00:00,2020,5,09,0,188.0,2020-5
418,2020-05-18T10:00:00,2020,5,10,0,168.0,2020-5
